,Title,Author,Price,Sales Rank,Genre/Theme,Published Month,Published Year
24, Antiracist Baby Board Book,Ibram X Kendi,8.99,29,Juvenile Fiction,Jun,2020
25, A Time for Mercy,John Grisham,29.95,30,Fiction,Oct,2020
26, One Life,Megan Rapinoe,27.0,31,Biography & Autobiography,Nov,2020
27, Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,35.0,32,Cooking,Oct,2020
28, Class Act,Jerry Craft,12.99,33,Juvenile Fiction,Oct,2020
29, Shuggie Bain: A Novel (Booker Prize Shortlist),Douglas Stuart,17.0,35,Fiction,Oct,2020
30, Devotions: The Selected Poems of Mary Oliver,Mary Oliver,20.0,36,Poetry,Nov,2020
31, Homegoing,Yaa Gyasi,16.95,38,Fiction,May,2017
32, The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,17.95,39,Social Science,Oct,2011
33, Parable of the Sower,Octavia E Butler,16.99,40,Fiction,Apr,2019
34, The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,17.95,41,Political Science,May,2018
35, Dessert Person: Recipes and Guidance for Baking with Confidence,Claire Saffitz,31.5,43,Cooking,Oct,2020
36, The Midnight Library: A Novel,Matt Haig,26.0,44,Fiction,Sep,2020
37, Piranesi,Susanna Clarke,27.0,45,Fiction,Sep,2020
38," Stamped: Racism, Antiracism, and You: A Remix of the National Book Award-winning Stamped from the Beginning",Jason Reynolds,18.99,46,Young Adult Nonfiction,Mar,2020
39, The Lying Life of Adults,Elena Ferrante,26.0,47,Fiction,Sep,2020
40, The Snowy Day Board Book,Ezra Jack Keats,7.19,48,Juvenile Fiction,Jan,1996
41, The Answer Is . . .: Reflections on My Life,Alex Trebek,26.0,49,Self-Help,Jul,2020
42, Moonflower Murders: A Novel,Anthony Horowitz,28.99,50,Fiction,Nov,2020
43, Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X Kendi,19.99,51,Social Science,Aug,2017
44, A Deadly Education: A Novel,Naomi Novik,28.0,52,Fiction,Sep,2020
45, The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,18.99,53,Social Science,Jan,2020
46," The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,32.0,55,Biography & Autobiography,Feb,2020
47, The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,Roman Mars,30.0,56,Architecture,Oct,2020
48, The Nickel Boys: A Novel,Colson Whitehead,15.95,58,Fiction,Jun,2020
49, My Grandmother's Hands: Racialized Trauma and the Pathway to Mending Our Hearts and Bodies,Resmaa Menakem,17.95,59,Social Science,Sep,2017
50, Intimations: Six Essays,Zadie Smith,10.95,60,Biography & Autobiography,Jul,2020
51, Logan Likes Mary Anne! (The Baby-Sitters Club Graphic Novel #8),Ann M Martin,12.99,62,Juvenile Fiction,Sep,2020
52, Kamala and Maya's Big Idea,Meena Harris,17.09,64,Juvenile Fiction,Jun,2020
53, The Fire Next Time,James Baldwin,13.95,66,Biography & Autobiography,Dec,1992
54, We Keep the Dead Close: A Murder at Harvard and a Half Century of Silence,Becky Cooper,26.1,67,Social Science,Nov,2020
55," Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",Robin Wall Kimmerer,35.0,68,Social Science,Oct,2020
56, Dune,Frank Herbert,18.0,69,Fiction,Aug,2005
57, Normal People: A Novel,Sally Rooney,17.0,71,Fiction,Feb,2020
58, Unlocked Book 8.5,Shannon Messenger,21.99,72,Juvenile Fiction,Nov,2020
59, The Evening and the Morning,Ken Follett,36.0,73,Fiction,Sep,2020
60, Ottolenghi Flavor: A Cookbook,Yotam Ottolenghi,35.0,74,Cooking,Oct,2020
61," Pappyland: A Story of Family, Fine Bourbon, and the Things That Last",Wright Thompson,27.0,75,Business & Economics,Nov,2020
62, The Topeka School: A Novel,Ben Lerner,17.0,76,Fiction,Sep,2020
63," Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F Saad,25.99,77,Self-Help,Jan,2020
64," Girl, Woman, Other: A Novel (Booker Prize Winner)",Bernardine Evaristo,17.0,78,Fiction,Nov,2019
65," Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,37.5,79,Cooking,Apr,2017
66," Olive, Again: A Novel",Elizabeth Strout,18.0,80,Fiction,Nov,2020
67, Hamnet,Maggie O'Farrell,26.95,81,Literary Criticism,Jul,2020
68, The Song of Achilles: A Novel,Madeline Miller,16.99,82,Fiction,Aug,2012
69, The Purpose of Power: How We Come Together When We Fall Apart,Alicia Garza,27.0,83,Political Science,Oct,2020
70, I Am Every Good Thing,Derrick Barnes,17.99,84,Juvenile Fiction,Sep,2020
71, Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,17.0,86,Social Science,Jan,2020
72, What We'll Build: Plans For Our Together Future,Oliver Jeffers,17.99,87,Juvenile Fiction,Oct,2020
73, The Memory Police: A Novel,Yoko Ogawa,16.0,88,Fiction,Jul,2020
74, Is This Anything?,Jerry Seinfeld,35.0,91,Humor,Oct,2020
75, When Stars Are Scattered,Victoria Jamieson,12.99,92,Juvenile Fiction,Apr,2020
76, The Office of Historical Corrections: A Novella and Stories,Danielle Evans,27.0,93,Fiction,Nov,2020
77, Jack: A Novel,Marilynne Robinson,27.0,94,Fiction,Sep,2020
78, The Silence: A Novel,Don DeLillo,22.0,95,Fiction,Oct,2020
79, Luster: A Novel,Raven Leilani,26.0,96,Fiction,Aug,2020
80," Conversations with RBG: Ruth Bader Ginsburg on Life, Love, Liberty, and Law",Jeffrey Rosen,18.0,97,Social Science,Nov,2020
81, Dearly: New Poems,Margaret Atwood,27.99,99,Poetry,Nov,2020
82, Group: How One Therapist and a Circle of Strangers Saved My Life,Christie Tate,27.0,100,Family & Relationships,Oct,2020
83, Kamala Harris: Rooted in Justice,Nikki Grimes,17.99,101,Juvenile Nonfiction,Aug,2020
84, Such a Fun Age,Kiley Reid,26.0,102,Fiction,Dec,2019
85, A Gentleman in Moscow: A Novel,Amor Towles,17.0,103,Fiction,Mar,2019
86, Between the World and Me,Ta-Nehisi Coates,26.0,104,Social Science,Jul,2015
87, An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,16.0,105,Social Science,Aug,2015
88, The Best American Short Stories 2020,Curtis Sittenfeld,16.99,106,Fiction,Nov,2020
89, The Yellow House: A Memoir (2019 National Book Award Winner),Sarah M Broom,17.0,109,History,Jun,2020
90, Sapiens: A Brief History of Humankind,Yuval Noah Harari,24.99,110,History,May,2018
91, March: Book One,John Lewis,14.95,111,Biography & Autobiography,Aug,2013
92, Humans,Brandon Stanton,35.0,112,Travel,Oct,2020
93, Eat a Peach: A Memoir,David Chang,28.0,114,Cooking,Sep,2020
94, All the Devils Are Here: A Novel,Louise Penny,28.99,115,Fiction,Sep,2020
95, Superheroes Are Everywhere,Kamala Harris,17.99,117,Juvenile Nonfiction,Jan,2019
96, Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,14.99,119,Juvenile Fiction,Aug,2020
97, The City We Became: A Novel,N K Jemisin,28.0,121,Fiction,Mar,2020
98, Squeeze Me: A novel,Carl Hiaasen,28.95,122,Fiction,Aug,2020
99, The Bad Guys in The One?! (The Bad Guys #12),Aaron Blabey,6.99,123,Juvenile Fiction,Nov,2020
100, There There,Tommy Orange,16.0,124,Fiction,May,2019
101, Breath: The New Science of a Lost Art,James Nestor,28.0,125,Sports & Recreation,May,2020
102, The Fifth Season,N K Jemisin,15.99,126,Fiction,Aug,2015
103, Drive Your Plow Over the Bones of the Dead: A Novel,Olga Tokarczuk,17.0,127,Fiction,Aug,2020
104, His Truth Is Marching On: John Lewis and the Power of Hope,Jon Meacham,30.0,128,History,Aug,2020
105, The One and Only Bob,Katherine Applegate,18.99,129,Juvenile Fiction,May,2020
106, You Matter,Christian Robinson,17.99,130,Juvenile Fiction,Jun,2020
107, The Guest List: A Novel,Lucy Foley,27.99,131,Fiction,Jun,2020
108, Magic Lessons: The Prequel to Practical Magic,Alice Hoffman,27.99,132,Fiction,Oct,2020
109, Wintering: The Power of Rest and Retreat in Difficult Times,Katherine May,24.0,135,Self-Help,Nov,2020
110, The Couch Potato,Jory John,18.99,136,Juvenile Fiction,Nov,2020
111, Uncomfortable Conversations with a Black Man,Emmanuel Acho,27.99,139,Social Science,Nov,2020
112, The Arrest: A Novel,Jonathan Lethem,27.99,140,Fiction,Nov,2020
113, Where the Crawdads Sing,Delia Owens,26.0,141,Fiction,Aug,2018
114, On Earth We're Briefly Gorgeous: A Novel,Ocean Vuong,26.0,142,Fiction,Jun,2019
115, The Book of Two Ways: A Novel,Jodi Picoult,28.99,143,Fiction,Sep,2020
116," Shit, Actually: The Definitive, 100% Objective Guide to Modern Cinema",Lindy West,27.0,144,Social Science,Oct,2020
117, Lovecraft Country: A Novel,Matt Ruff,16.99,145,Fiction,Feb,2017
118, Becoming,Michelle Obama,32.5,146,Biography & Autobiography,Nov,2018
119, The Princess in Black,Shannon Hale,6.99,148,Juvenile Fiction,Apr,2015
120, New Kid,Jerry Craft,12.99,149,Juvenile Fiction,Feb,2019
121, Very Hungry Caterpillar Board,Eric Carle,10.99,150,Juvenile Fiction,Mar,1994
122, Vesper Flights,Helen MacDonald,27.0,151,Literary Collections,Aug,2020
123, Twins: A Graphic Novel,Varian Johnson,12.99,153,Juvenile Fiction,Oct,2020
124, Ninth House,Leigh Bardugo,17.99,154,Fiction,Oct,2020
125, Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,18.0,156,Social Science,Jul,2020
126, The Selected Works of Audre Lorde,Audre Lorde,16.95,157,Literary Criticism,Sep,2020
127, A is for Activist,Innosanto Nagara,11.95,158,Juvenile Nonfiction,Nov,2013
128, Home Body,Rupi Kaur,16.99,160,Poetry,Nov,2020
129, The Archer,Paulo Coelho,21.0,161,Fiction,Nov,2020
130, Spy School Revolution,Stuart Gibbs,17.99,162,Juvenile Fiction,Oct,2020
131, Nothing to See Here,Kevin Wilson,16.99,163,Fiction,Sep,2020
132, The Alchemist,Paulo Coelho,16.99,166,"Body, Mind & Spirit",Apr,2014
133, A Tale of Witchcraft...,Chris Colfer,18.99,167,Juvenile Fiction,Sep,2020
134, The Testaments: A Novel,Margaret Atwood,16.95,168,Fiction,Sep,2020
135, Begin Again: James Baldwin's America and Its Urgent Lessons for Our Own,Eddie S Glaude,27.0,169,History,Jun,2020
136, Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,26.0,170,Political Science,Feb,2020
137, Ex Libris: 100+ Books to Read and Reread,Michiko Kakutani,25.0,171,Literary Collections,Oct,2020
138, Skunk and Badger (Skunk and Badger 1),Amy Timberlake,18.95,173,Juvenile Fiction,Sep,2020
139, Kindred,Octavia E Butler,16.0,174,Fiction,Feb,2004
140, The Secret Lives of Church Ladies,Deesha Philyaw,18.99,176,Fiction,Oct,2020
141, Who Was Ruth Bader Ginsburg?,Patricia Brennan Demuth,5.99,177,Juvenile Nonfiction,Dec,2019
142," What It's Like to Be a Bird: From Flying to Nesting, Eating to Singing--What Birds Are Doing, and Why",David Allen Sibley,35.0,178,Art,Apr,2020
143, Rise of the Earth Dragon: A Branches Book (Dragon Masters #1),Tracey West,5.99,179,Juvenile Fiction,Aug,2014
144," The Tower of Nero (Trials of Apollo, The Book Five)",Rick Riordan,19.99,180,Juvenile Fiction,Oct,2020
145, The Mothers: A Novel,Brit Bennett,16.0,181,Fiction,Oct,2017
146, All Because You Matter,Tami Charles,17.99,182,Juvenile Fiction,Oct,2020
147, The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,27.99,183,Young Adult Fiction,May,2020
148, The Starless Sea: A Novel,Erin Morgenstern,16.95,184,Fiction,Aug,2020
149," Wow, No Thank You.: Essays",Samantha Irby,15.95,185,Biography & Autobiography,Mar,2020
150, When No One Is Watching: A Thriller,Alyssa Cole,16.99,186,Fiction,Sep,2020
151, Just Us: An American Conversation,Claudia Rankine,30.0,187,Social Science,Sep,2020
152, The Best American Science Fiction and Fantasy 2020,John Joseph Adams,16.99,188,Fiction,Nov,2020
153, The Kingdom: A novel,Jo Nesbo,28.95,189,Fiction,Nov,2020
154," Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton,50.0,190,Performing Arts,Nov,2020
155, White Ivy: A Novel,Susie Yang,26.0,192,Fiction,Nov,2020
156, Chicka Chicka Boom Boom,Bill Martin,7.99,193,Juvenile Fiction,Aug,2012
157, Exhalation,Ted Chiang,16.95,194,Fiction,Jun,2020
158," Emergent Strategy: Shaping Change, Changing Worlds",adrienne maree brown,16.0,195,Political Science,Apr,2017
159, To Be a Man: Stories,Nicole Krauss,26.99,197,Literary Collections,Nov,2020
160, The Water Dancer: A Novel,Ta-Nehisi Coates,18.0,198,Fiction,Nov,2020
161, The Lightning Thief: Percy Jackson and the Olympians Book One,Rick Riordan,7.99,200,Juvenile Fiction,Apr,2006
162, Dragons Love Tacos,Adam Rubin,18.99,201,Juvenile Fiction,Jun,2012
163, I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,25.0,202,Biography & Autobiography,May,2018
164, The Dead Are Arising: The Life of Malcolm X,Les Payne,35.0,204,History,Oct,2020
165, City of Girls: A Novel,Elizabeth Gilbert,17.0,205,Fiction,Apr,2020
166, Writers & Lovers,Lily King,27.0,206,Fiction,Mar,2020
167, Dragons and Marshmallows,Asia Citro,5.99,207,Juvenile Fiction,Mar,2017
168, Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,12.99,208,Juvenile Fiction,Dec,2019
169, My Year of Rest and Relaxation: A Novel,Ottessa Moshfegh,16.0,209,Fiction,Jun,2019
170, Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,17.0,210,Biography & Autobiography,Aug,2015
171," World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments",Aimee Nezhukumatathil,25.0,211,Biography & Autobiography,Sep,2020
172, Are Prisons Obsolete?,Angela Y Davis,15.95,214,Political Science,Aug,2003
173, The Underground Railroad: A Novel,Colson Whitehead,16.95,215,Fiction,Jan,2018
174, I Want to Be Where the Normal People Are,Rachel Bloom,28.0,216,Biography & Autobiography,Nov,2020
175, Station Eleven,Emily St John Mandel,16.95,217,Fiction,Jun,2015
176," Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,28.0,218,Biography & Autobiography,May,2020
177, The One and Only Ivan,Katherine Applegate,8.99,219,Juvenile Fiction,Jan,2015
178," Be Antiracist: A Journal for Awareness, Reflection, and Action",Ibram X Kendi,15.99,220,Social Science,Oct,2020
179, The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness,Sy Montgomery,16.99,221,Science,Apr,2016
180, Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L Trump,28.0,223,Biography & Autobiography,Jul,2020
181, Julian at the Wedding,Jessica Love,16.99,224,Juvenile Fiction,Oct,2020
182, Last Stop on Market Street,Matt de la Pena,18.99,225,Juvenile Fiction,Jan,2015
183, Obama: An Intimate Portrait,Pete Souza,50.0,227,History,Nov,2017
184, Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,25.99,228,Social Science,Oct,2015
185, Sulwe,Lupita Nyong'o,17.99,229,Juvenile Fiction,Oct,2019
186, Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,12.99,231,Juvenile Fiction,Aug,2019
187, White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,16.95,232,Social Science,Oct,2020
188, Just Like You: A Novel,Nick Hornby,27.0,233,Fiction,Sep,2020
189, How to Write One Song: Loving the Things We Create and How They Love Us Back,Jeff Tweedy,23.0,235,Language Arts & Disciplines,Oct,2020
190, Little Fires Everywhere: A Novel,Celeste Ng,17.0,236,Fiction,May,2019
191, If You Come to Earth,Sophie Blackall,18.99,237,Juvenile Fiction,Sep,2020
192, The Dutch House: A Novel,Ann Patchett,27.99,238,Fiction,Sep,2019
193," Wayward Lives, Beautiful Experiments: Intimate Histories of Social Upheaval",Saidiya Hartman,17.95,239,History,Jan,2020
194, Goodnight Moon,Margaret Wise Brown,8.99,240,Juvenile Fiction,Nov,1995
195, Good Night Stories for Rebel Girls: 100 Tales of Extraordinary Women,Elena Favilli,35.0,241,Juvenile Nonfiction,Nov,2016
196, The Wild Robot,Peter Brown,8.99,242,Juvenile Fiction,Apr,2020
197, Magic Treehouse # 1: Dinosaurs Before Dark,Mary Pope Osborne,5.99,243,Juvenile Fiction,Jul,1992
198, Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,27.0,245,Religion,Sep,2020
199, Dog Man,Dav Pilkey,9.99,246,Juvenile Fiction,Aug,2016
200, Little Leaders: Bold Women in Black History,Vashti Harrison,16.99,247,Juvenile Nonfiction,Dec,2017
201, Lead from the Outside: How to Build Your Future and Make Real Change,Stacey Abrams,17.0,248,Social Science,Mar,2019
202, The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,17.0,249,Fiction,May,2018
203, Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,16.95,250,History,Feb,2020
204, Miss Benson's Beetle: A Novel,Rachel Joyce,18.0,251,Fiction,Nov,2020
205," My Sister, the Serial Killer: A Novel",Oyinkan Braithwaite,14.95,252,Fiction,Jul,2019
206," All We Can Save: Truth, Courage, and Solutions for the Climate Crisis",Ayana Elizabeth Johnson,29.0,253,Social Science,Sep,2020
207, She Come By It Natural: Dolly Parton and the Women Who Lived Her Songs,Sarah Smarsh,22.0,254,Music,Oct,2020
208, To Sleep in a Sea of Stars,Christopher Paolini,29.99,257,Fiction,Sep,2020
209, Julian Is a Mermaid,Jessica Love,16.99,258,Juvenile Fiction,Apr,2018
210, Year of the Monkey,Patti Smith,16.0,259,Literary Criticism,Sep,2020
211, Look Both Ways: A Tale Told in Ten Blocks,Jason Reynolds,8.99,261,Juvenile Fiction,Oct,2020
212, Hair Love,Matthew A Cherry,17.99,262,Juvenile Fiction,May,2019
213, Dog Man Unleashed,Dav Pilkey,9.99,263,Juvenile Fiction,Dec,2016
214, Where the Wild Things Are,Maurice Sendak,8.95,265,Juvenile Fiction,Aug,1989
215, We Are Water Protectors,Carole Lindstrom,17.99,266,Juvenile Fiction,Mar,2020
216, Sapiens: A Graphic History: The Birth of Humankind (Vol. 1),Yuval Noah Harari,25.99,267,History,Oct,2020
217, Parable of the Talents,Octavia E Butler,16.99,268,Fiction,Aug,2019
218, How to Do Nothing: Resisting the Attention Economy,Jenny Odell,26.99,270,Art,Apr,2019
219, This Is How You Lose the Time War,Amal El-Mohtar,14.99,272,Fiction,Mar,2020
220, The Best American Food Writing 2020,J Kenji Lopez-Alt,16.99,273,Cooking,Nov,2020
221, Witches of Brooklyn,Sophie Escabasse,11.69,274,Juvenile Fiction,Sep,2020
222, Sister Outsider: Essays and Speeches,Audre Lorde,16.99,275,Social Science,Aug,2007
223, Children of Blood and Bone,Tomi Adeyemi,18.99,276,Young Adult Fiction,Mar,2018
224," Red, White & Royal Blue: A Novel",Casey McQuiston,16.99,277,Fiction,May,2019
225, The Four Agreements: A Practical Guide to Personal Freedom,don Miguel Ruiz,12.95,280,Self-Help,Nov,1997
226, Bunheads,Misty Copeland,17.99,281,Juvenile Fiction,Sep,2020
227, Brown Girl Dreaming,Jacqueline Woodson,10.99,282,Juvenile Nonfiction,Oct,2016
228, How to Slowly Kill Yourself and Others in America: Essays,Kiese Laymon,16.0,283,Social Science,Nov,2020
229, Conversations with Friends: A Novel,Sally Rooney,17.0,284,Fiction,Aug,2018
230," Brown Bear, Brown Bear, What Do You See?: 50th Anniversary Edition",Bill Martin Jr,8.99,285,Juvenile Fiction,Sep,1996
231, Joey: The Story of Joe Biden,Jill Biden,19.99,286,Juvenile Nonfiction,Jun,2020
232, Here We Are: Notes for Living on Planet Earth,Oliver Jeffers,19.99,288,Juvenile Fiction,Nov,2017
233, Know My Name: A Memoir,Chanel Miller,18.0,289,Social Science,Aug,2020
234, The Obelisk Gate,N K Jemisin,17.99,290,Fiction,Aug,2016
235, Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,17.0,291,Fiction,Feb,2020
236, Severance: A Novel,Ling Ma,17.0,294,Fiction,May,2019
237, Disability Visibility: First-Person Stories from the Twenty-First Century,Alice Wong,16.95,295,Social Science,Jun,2020
238, In a Holidaze,Christina Lauren,16.0,297,Fiction,Oct,2020
239, Enola Holmes: The Case of the Missing Marquess,Nancy Springer,7.99,298,Juvenile Fiction,Aug,2020
240, Ten Ways to Hear Snow,Cathy Camper,17.99,299,Juvenile Fiction,Oct,2020
241, Guinness World Records 2021,Guinness World Records,28.95,301,Reference,Oct,2020
242, Antiracist Baby Picture Book,Ibram X Kendi,8.99,302,Juvenile Fiction,Jul,2020
243," Ada Twist, Scientist",Andrea Beaty,18.99,304,Juvenile Fiction,Sep,2016
244, The Princess in Black and the Giant Problem,Shannon Hale,14.99,305,Juvenile Fiction,Oct,2020
245, Grand Union: Stories,Zadie Smith,17.0,306,Fiction,Oct,2020
246, Midnight Sun,Stephenie Meyer,27.99,307,Young Adult Fiction,Aug,2020
247, Red Comet: The Short Life and Blazing Art of Sylvia Plath,Heather Clark,40.0,308,Literary Criticism,Oct,2020
248, The Princess in Black and the Bathtime Battle,Shannon Hale,6.99,309,Juvenile Fiction,Sep,2020
249, Cars & Trucks & Things That Go,Richard Scarry,16.99,311,Juvenile Fiction,Feb,2004
250, Grumpy Monkey,Suzanne Lang,8.99,312,Juvenile Fiction,Oct,2019
251, The Witch Elm: A Novel,Tana French,18.0,314,Fiction,Jul,2019
252, Trust Exercise: A Novel,Susan Choi,15.99,315,Fiction,May,2020
253, Earthlings: A Novel,Sayaka Murata,26.0,316,Fiction,Oct,2020
254, The Best American Science and Nature Writing 2020,Michio Kaku,16.99,317,Nature,Nov,2020
255, Assata: An Autobiography,Assata Shakur,18.95,318,Social Science,Nov,1999
256, Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,9.99,319,Juvenile Fiction,Aug,2018
257," The Hidden Life of Trees: What They Feel, How They Communicate-Discoveries from A Secret World",Peter Wohlleben,24.95,320,Science,Sep,2016
258, Dear Martin,Nic Stone,9.99,321,Young Adult Fiction,Sep,2018
259, Fortress of the Stone Dragon: A Branches Book (Dragon Masters #17),Tracey West,5.99,322,Juvenile Fiction,Oct,2020
260, Homeland Elegies: A Novel,Ayad Akhtar,28.0,323,Fiction,Sep,2020
261, Having and Being Had,Eula Biss,26.0,324,Political Science,Sep,2020
262, I Promise,LeBron James,19.99,325,Juvenile Fiction,Aug,2020
263, The Death of Vivek Oji: A Novel,Akwaeke Emezi,27.0,326,Fiction,Aug,2020
264, Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,18.99,327,Social Science,Mar,2015
265," This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do The Work",Tiffany Jewell,14.99,328,Young Adult Nonfiction,Jan,2020
266, Monogamy: A Novel,Sue Miller,28.99,329,Fiction,Sep,2020
267, Inside Story: A novel,Martin Amis,28.95,332,Fiction,Oct,2020
268, Gilead: A Novel,Marilynne Robinson,17.0,333,Fiction,Aug,2020
269," We're Different, We're the Same (Sesame Street)",Bobbi Kates,4.99,334,Juvenile Fiction,Oct,1992
270, Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,9.99,335,Juvenile Fiction,Dec,2017
271, The Soul of America: The Battle for Our Better Angels,Jon Meacham,20.0,336,Political Science,Apr,2019
272, The Bluest Eye,Toni Morrison,14.95,337,Fiction,May,2007
273, What Are You Going Through: A Novel,Sigrid Nunez,26.0,338,Fiction,Sep,2020
274, Decisions and Dissents of Justice Ruth Bader Ginsburg: A Selection,Corey Brettschneider,15.0,342,Political Science,Sep,2020
275, Fahrenheit 451: A Novel,Ray Bradbury,17.0,343,Fiction,Jan,2012
276, Poems 1962-2012,Louise Gluck,22.0,344,Poetry,Nov,2013
277," Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed",Lori Gottlieb,28.0,345,Self-Help,Apr,2019
278, Rage,Bob Woodward,30.0,346,Political Science,Sep,2020
279, The Glass Hotel: A novel,Emily St John Mandel,26.95,347,Fiction,Mar,2020
280, Instant Karma,Marissa Meyer,18.99,348,Young Adult Fiction,Nov,2020
281, An American Sunrise: Poems,Joy Harjo,15.95,349,Poetry,Aug,2020
282, Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza [A Cookbook],Ken Forkish,35.0,350,Cooking,Sep,2012
283," Dream Big, Little One",Vashti Harrison,8.99,351,Juvenile Nonfiction,Oct,2018
284, The Undocumented Americans,Karla Cornejo Villavicencio,26.0,352,History,Mar,2020
285, These Truths: A History of the United States,Jill Lepore,19.95,353,History,Oct,2019
286, I Am Enough,Grace Byers,18.99,354,Juvenile Fiction,Mar,2018
287, Every Night Is Pizza Night,J Kenji Lopez-Alt,17.95,355,Cooking,Sep,2020
288, The Handmaid's Tale: A Novel,Margaret Atwood,15.95,356,Fiction,Mar,1998
289, Americanah,Chimamanda Ngozi Adichie,16.0,357,Fiction,Mar,2014
290, The Rise: Black Cooks and the Soul of American Food: A Cookbook,Marcus Samuelsson,38.0,358,Cooking,Oct,2020
291, The Sun and Her Flowers,Rupi Kaur,16.99,359,Poetry,Oct,2017
292, Dear Justyce,Nic Stone,18.99,360,Young Adult Fiction,Sep,2020
